"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0","seeds","iter_id"
"1","7.1","0",0.466666666666667,"n",0.241379310344828,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,1,91
"2","7.6","0",0.615384615384615,"n",0.296296296296296,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,1,91
"3","8.2","0",0.6,"n",0.346153846153846,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,1,91
"4","8.8","0",0.6,"n",0.375,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,1,91
"5","9.4","0",0.6,"n",0.391304347826087,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,1,91
"6","10","0",0.714285714285714,"n",0.535714285714286,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,1,91
"7","7.1","1",0,"n",0,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,1,91
"8","7.6","1",0,"n",0,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,1,91
"9","8.2","1",0.0666666666666667,"n",0.0384615384615385,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,1,91
"10","8.8","1",0.2,"n",0.125,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,1,91
"11","9.4","1",0.133333333333333,"n",0.0869565217391304,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,1,91
"12","10","1",0.0476190476190476,"n",0.0357142857142857,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,1,91
"13","7.1","2",0.533333333333333,"n",0.275862068965517,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,1,91
"14","7.6","2",0.384615384615385,"n",0.185185185185185,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,1,91
"15","8.2","2",0.333333333333333,"n",0.192307692307692,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,1,91
"16","8.8","2",0.2,"n",0.125,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,1,91
"17","9.4","2",0.266666666666667,"n",0.173913043478261,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,1,91
"18","10","2",0.238095238095238,"n",0.178571428571429,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,1,91
"19","7.1","0",0.642857142857143,"a",0.310344827586207,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,1,91
"20","7.6","0",0.428571428571429,"a",0.222222222222222,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,1,91
"21","8.2","0",0.363636363636364,"a",0.153846153846154,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,1,91
"22","8.8","0",0,"a",0,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,1,91
"23","9.4","0",0,"a",0,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,1,91
"24","10","0",0,"a",0,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,1,91
"25","7.1","1",0,"a",0,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,1,91
"26","7.6","1",0.0714285714285714,"a",0.037037037037037,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,1,91
"27","8.2","1",0,"a",0,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,1,91
"28","8.8","1",0.222222222222222,"a",0.0833333333333333,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,1,91
