"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","dn0"
"1","7.1","0",0.724137931034483,"n",0.617647058823529,0.042375539697341,4.9,13.6,34,0.0519611223828166,0.1
"2","8.5","0",0.636363636363636,"n",0.518518518518518,0.0826045814779049,3.5,19,27,0.0774996901503023,0.1
"3","10","0",0.586206896551724,"n",0.53125,0.0564684037560146,6.1,18.8,32,0.101598148942839,0.1
"4","11.4","0",0.703703703703704,"n",0.59375,0.0603970162031448,6.5,20.1,32,0.121484492805138,0.1
"5","12.8","0",0.68,"n",0.566666666666667,0.073618237481762,6.2,23.5,30,0.15235449509957,0.1
"6","14.3","0",0.851851851851852,"n",0.779661016949153,0.00800562939321343,25.1,0,59,0.126971663057393,0.1
"7","15.7","0",0.851851851851852,"n",0.779661016949153,0.00846732697475066,25.7,0,59,0.143790252918282,0.1
"8","17.1","0",0.818181818181818,"n",0.76271186440678,0.00861496324994825,27.9,0,59,0.167798465434287,0.1
"9","18.6","0",0.851851851851852,"n",0.779661016949153,0.0090690387136315,30.1,0,59,0.187320059821223,0.1
"10","20","0",0.851851851851852,"n",0.779661016949153,0.00940877955566194,30.8,0,59,0.200230738857637,0.1
"11","7.1","1",0,"n",0,0.042375539697341,4.9,13.6,34,0.0519611223828166,0.1
"12","8.5","1",0,"n",0,0.0826045814779049,3.5,19,27,0.0774996901503023,0.1
"13","10","1",0.172413793103448,"n",0.15625,0.0564684037560146,6.1,18.8,32,0.101598148942839,0.1
"14","11.4","1",0.037037037037037,"n",0.03125,0.0603970162031448,6.5,20.1,32,0.121484492805138,0.1
"15","12.8","1",0.04,"n",0.0333333333333333,0.073618237481762,6.2,23.5,30,0.15235449509957,0.1
"16","14.3","1",0.0185185185185185,"n",0.0169491525423729,0.00800562939321343,25.1,0,59,0.126971663057393,0.1
"17","15.7","1",0,"n",0,0.00846732697475066,25.7,0,59,0.143790252918282,0.1
"18","17.1","1",0.0545454545454545,"n",0.0508474576271186,0.00861496324994825,27.9,0,59,0.167798465434287,0.1
"19","18.6","1",0.0185185185185185,"n",0.0169491525423729,0.0090690387136315,30.1,0,59,0.187320059821223,0.1
"20","20","1",0,"n",0,0.00940877955566194,30.8,0,59,0.200230738857637,0.1
"21","7.1","2",0.275862068965517,"n",0.235294117647059,0.042375539697341,4.9,13.6,34,0.0519611223828166,0.1
"22","8.5","2",0.363636363636364,"n",0.296296296296296,0.0826045814779049,3.5,19,27,0.0774996901503023,0.1
"23","10","2",0.241379310344828,"n",0.21875,0.0564684037560146,6.1,18.8,32,0.101598148942839,0.1
"24","11.4","2",0.259259259259259,"n",0.21875,0.0603970162031448,6.5,20.1,32,0.121484492805138,0.1
"25","12.8","2",0.28,"n",0.233333333333333,0.073618237481762,6.2,23.5,30,0.15235449509957,0.1
"26","14.3","2",0.12962962962963,"n",0.11864406779661,0.00800562939321343,25.1,0,59,0.126971663057393,0.1
"27","15.7","2",0.148148148148148,"n",0.135593220338983,0.00846732697475066,25.7,0,59,0.143790252918282,0.1
"28","17.1","2",0.127272727272727,"n",0.11864406779661,0.00861496324994825,27.9,0,59,0.167798465434287,0.1
"29","18.6","2",0.12962962962963,"n",0.11864406779661,0.0090690387136315,30.1,0,59,0.187320059821223,0.1
"30","20","2",0.148148148148148,"n",0.135593220338983,0.00940877955566194,30.8,0,59,0.200230738857637,0.1
"31","7.1","0",0,"a",0,0.042375539697341,4.9,13.6,34,0.0519611223828166,0.1
"32","8.5","0",0,"a",0,0.0826045814779049,3.5,19,27,0.0774996901503023,0.1
"33","10","0",0,"a",0,0.0564684037560146,6.1,18.8,32,0.101598148942839,0.1
"34","11.4","0",0,"a",0,0.0603970162031448,6.5,20.1,32,0.121484492805138,0.1
"35","12.8","0",0,"a",0,0.073618237481762,6.2,23.5,30,0.15235449509957,0.1
"36","14.3","0",0,"a",0,0.00800562939321343,25.1,0,59,0.126971663057393,0.1
"37","15.7","0",0,"a",0,0.00846732697475066,25.7,0,59,0.143790252918282,0.1
"38","17.1","0",0,"a",0,0.00861496324994825,27.9,0,59,0.167798465434287,0.1
"39","18.6","0",0,"a",0,0.0090690387136315,30.1,0,59,0.187320059821223,0.1
"40","20","0",0,"a",0,0.00940877955566194,30.8,0,59,0.200230738857637,0.1
"41","7.1","1",0.2,"a",0.0294117647058824,0.042375539697341,4.9,13.6,34,0.0519611223828166,0.1
"42","8.5","1",0.2,"a",0.037037037037037,0.0826045814779049,3.5,19,27,0.0774996901503023,0.1
"43","10","1",0,"a",0,0.0564684037560146,6.1,18.8,32,0.101598148942839,0.1
"44","11.4","1",0,"a",0,0.0603970162031448,6.5,20.1,32,0.121484492805138,0.1
"45","12.8","1",0,"a",0,0.073618237481762,6.2,23.5,30,0.15235449509957,0.1
"46","14.3","1",0,"a",0,0.00800562939321343,25.1,0,59,0.126971663057393,0.1
"47","15.7","1",0.2,"a",0.0169491525423729,0.00846732697475066,25.7,0,59,0.143790252918282,0.1
"48","17.1","1",0,"a",0,0.00861496324994825,27.9,0,59,0.167798465434287,0.1
